Date;Open;High;Low;Close;Adj Close;Volume
20.10.2017;78.699.997;79.820.000;78.629.997;78.779.999;78.779.999;581900
23.10.2017;79.680.000;79.750.000;78.849.998;79.150.002;79.150.002;663300
24.10.2017;79.290.001;79.449.997;78.680.000;78.860.001;78.860.001;321200
25.10.2017;78.769.997;79.129.997;77.680.000;78.300.003;78.300.003;685800
26.10.2017;78.519.997;79.650.002;77.650.002;79.379.997;79.379.997;738300
27.10.2017;79.830.002;80.750.000;78.680.000;79.339.996;79.339.996;660400
30.10.2017;79.000.000;80.139.999;79.000.000;79.529.999;79.529.999;707000
31.10.2017;80.110.001;81.419.998;79.709.999;81.089.996;81.089.996;990600
1.11.2017;81.550.003;81.739.998;79.269.997;80.760.002;80.760.002;1356300
2.11.2017;80.260.002;82.320.000;79.690.002;82.169.998;82.169.998;1570800
3.11.2017;72.379.997;75.379.997;71.500.000;74.599.998;74.599.998;6713800
6.11.2017;74.580.002;74.660.004;71.120.003;71.400.002;71.400.002;2618100
7.11.2017;71.529.999;71.930.000;69.809.998;70.269.997;70.269.997;2231300
8.11.2017;70.099.998;71.389.999;69.750.000;71.250.000;71.250.000;1538000
9.11.2017;71.199.997;71.709.999;69.839.996;71.639.999;71.639.999;772300
10.11.2017;71.379.997;72.370.003;71.080.002;72.150.002;72.150.002;685200
13.11.2017;71.610.001;71.699.997;70.540.001;71.239.998;71.239.998;740600
14.11.2017;71.120.003;71.750.000;70.900.002;71.180.000;71.180.000;361100
15.11.2017;70.889.999;72.949.997;70.070.000;70.349.998;70.349.998;566100
16.11.2017;70.970.001;71.580.002;69.690.002;70.309.998;70.309.998;983300
17.11.2017;70.349.998;70.959.999;69.610.001;70.190.002;70.190.002;858300
20.11.2017;70.139.999;70.730.003;69.910.004;70.099.998;70.099.998;812500
21.11.2017;70.190.002;70.830.002;69.550.003;69.680.000;69.680.000;868200
22.11.2017;69.680.000;69.690.002;68.599.998;69.430.000;69.430.000;959200
24.11.2017;69.379.997;70.320.000;69.129.997;70.070.000;70.070.000;204300
27.11.2017;69.980.003;70.760.002;69.959.999;70.389.999;70.389.999;585900
28.11.2017;70.839.996;71.480.003;70.760.002;70.940.002;70.940.002;713500
29.11.2017;70.919.998;70.919.998;68.370.003;68.959.999;68.959.999;927000
30.11.2017;69.199.997;70.559.998;68.870.003;70.300.003;70.300.003;670400
1.12.2017;69.870.003;70.650.002;69.400.002;70.320.000;70.320.000;719200
4.12.2017;70.300.003;70.680.000;68.690.002;68.769.997;68.769.997;860900
5.12.2017;68.449.997;70.980.003;68.449.997;69.870.003;69.870.003;903100
6.12.2017;69.480.003;70.910.004;69.160.004;70.760.002;70.760.002;463000
7.12.2017;70.470.001;71.959.999;70.320.000;71.610.001;71.610.001;624400
8.12.2017;72.279.999;72.610.001;71.500.000;71.589.996;71.589.996;459400
11.12.2017;71.790.001;72.070.000;70.940.002;71.190.002;71.190.002;602600
12.12.2017;71.160.004;71.599.998;70.419.998;70.669.998;70.669.998;516900
13.12.2017;70.830.002;71.410.004;69.949.997;70.099.998;70.099.998;591900
14.12.2017;70.309.998;70.570.000;69.309.998;69.389.999;69.389.999;674400
15.12.2017;69.559.998;71.010.002;69.209.999;70.629.997;70.629.997;893000
18.12.2017;71.010.002;71.839.996;70.800.003;71.059.998;71.059.998;590400
19.12.2017;71.360.001;71.419.998;70.370.003;70.680.000;70.680.000;627800
20.12.2017;70.730.003;70.940.002;69.800.003;70.059.998;70.059.998;407100
21.12.2017;70.489.998;70.900.002;70.260.002;70.750.000;70.750.000;447000
22.12.2017;70.620.003;70.620.003;69.830.002;70.190.002;70.190.002;291900
26.12.2017;70.120.003;70.919.998;69.790.001;70.709.999;70.709.999;232400
27.12.2017;70.699.997;71.250.000;70.199.997;70.570.000;70.570.000;326300
28.12.2017;70.589.996;70.839.996;70.120.003;70.360.001;70.360.001;361200
29.12.2017;70.239.998;70.410.004;69.000.000;69.199.997;69.199.997;518100
